date,open,high,low,close,volume,date_str,daily_return,daily_volatility,sma_20,sma_50,volume_ma_20
2025-01-10,3.11,3.58,2.69,2.81,23188155.0,2025-01-10,-0.11075949367088611,0.2383694702437182,2.2210550000000002,1.28448,31548344.45
2025-01-13,2.5,2.5834,1.97,2.12,25691539.0,2025-01-13,-0.24555160142348753,0.24851922889318886,2.2848300000000004,1.312082,32550376.0
2025-01-14,2.3,3.26,2.3,2.6,56418262.0,2025-01-14,0.2264150943396226,0.2468550609451828,2.377335,1.3499339999999997,35114524.85
2025-01-15,2.95,3.16,2.67,2.87,31936093.0,2025-01-15,0.10384615384615392,0.24671891174722127,2.47857,1.3941139999999999,36430714.7
2025-01-16,2.76,3.48,2.6002,3.29,37159489.0,2025-01-16,0.14634146341463405,0.24668248453112976,2.5945,1.4474520000000002,37527725.5
2025-01-17,3.33,3.34,2.93,3.1,18686242.0,2025-01-17,-0.05775075987841949,0.2449594415637799,2.6879999999999997,1.496532,36688032.85
2025-01-21,3.15,3.335,2.91,3.12,13299062.0,2025-01-21,0.006451612903225712,0.24498250599481022,2.782,1.546766,35431397.45
2025-01-22,3.21,3.9,3.08,3.23,38075262.0,2025-01-22,0.03525641025641013,0.2428285278374795,2.886,1.5999279999999998,36131606.5
2025-01-23,3.22,3.6792,3.12,3.45,21188748.0,2025-01-23,0.06811145510835925,0.24274576091011593,2.995,1.656504,36437181.7
2025-01-24,3.55,3.84,3.23,3.31,25538985.0,2025-01-24,-0.04057971014492756,0.21719954581581158,3.0625,1.710352,35371215.45
2025-01-27,3.0,3.19,2.73,2.87,13932296.0,2025-01-27,-0.13293051359516617,0.22062362164373114,3.1085000000000003,1.75489,34705257.65
2025-01-28,2.9,2.97,2.54,2.76,10871356.0,2025-01-28,-0.03832752613240431,0.20693339646702646,3.1130000000000004,1.7978979999999998,32632428.05
2025-01-29,2.7202,2.73,2.5,2.57,8453185.0,2025-01-29,-0.0688405797101449,0.20718151419084613,3.0965,1.8371780000000002,30943188.1
2025-01-30,2.57,2.62,2.3513,2.42,12269074.0,2025-01-30,-0.05836575875486383,0.20260752593746545,3.043,1.873874,29680834.85
2025-01-31,2.58,2.76,2.32,2.48,20311910.0,2025-01-31,0.024793388429751984,0.19563400199874936,3.032,1.912174,29443302.0
2025-02-03,2.16,2.4,2.1,2.36,10009437.0,2025-02-03,-0.048387096774193616,0.1942010693430613,3.0295,1.9483300000000003,29042882.45
2025-02-04,2.42,2.555,2.4,2.46,6251134.0,2025-02-04,0.04237288135593231,0.10970178600694812,2.948,1.98613,26007368.15
2025-02-05,2.38,2.4,2.235,2.36,8355795.0,2025-02-05,-0.04065040650406504,0.10964710954098612,2.8605,2.022722,22572006.1
2025-02-06,2.48,2.96,2.46,2.85,27507991.0,2025-02-06,0.2076271186440679,0.12053344740103573,2.8095000000000003,2.068272,22093198.7
2025-02-07,2.82,3.27,2.7,3.14,29316001.0,2025-02-07,0.10175438596491237,0.11547490933488339,2.8085,2.1187139999999998,21923000.8
2025-02-10,2.98,3.41,2.86,3.01,31203075.0,2025-02-10,-0.04140127388535042,0.11279288884913195,2.8185,2.166258,22323746.8
2025-02-11,2.97,3.03,2.7,2.71,13818340.0,2025-02-11,-0.09966777408637872,0.09934574492498686,2.848,2.208336,21730086.85
2025-02-12,2.61,2.8,2.6,2.64,10871658.0,2025-02-12,-0.02583025830258301,0.08651776769935476,2.85,2.247924,19452756.65
2025-02-13,2.8,3.12,2.6675,3.04,22467489.0,2025-02-13,0.15151515151515138,0.08999438063700084,2.8585000000000003,2.293924,18979326.45
2025-02-14,2.875,2.95,2.67,2.75,16051814.0,2025-02-14,-0.09539473684210531,0.08639625280380488,2.8315,2.3353300000000004,17923942.7
2025-02-18,2.8,2.84,2.5,2.56,13829718.0,2025-02-18,-0.06909090909090909,0.08679343070137605,2.8045,2.37305,17681116.5
2025-02-19,2.62,2.69,2.53,2.55,8090634.0,2025-02-19,-0.003906250000000111,0.08674561377481704,2.7760000000000002,2.4080019999999998,17420695.1
2025-02-20,2.5,2.52,2.35,2.47,7748633.0,2025-02-20,-0.03137254901960773,0.08633208963064293,2.738,2.442652,15904363.65
2025-02-21,2.48,2.57,2.165,2.215,11376653.0,2025-02-21,-0.10323886639676128,0.08668147712922034,2.6762500000000005,2.4708360000000003,15413758.9
2025-02-24,2.22,2.25,1.85,1.88,11587843.0,2025-02-24,-0.1512415349887133,0.0915599492133272,2.60475,2.4894380000000003,14716201.8
2025-02-25,1.805,1.91,1.615,1.72,10794793.0,2025-02-25,-0.08510638297872342,0.08915917942478345,2.5472499999999996,2.506522,14559326.65
2025-02-26,1.77,2.09,1.77,2.03,9268892.0,2025-02-26,0.18023255813953476,0.09976882762059869,2.51075,2.530232,14479203.45
2025-02-27,2.04,2.14,1.8201,1.9,9302238.0,2025-02-27,-0.064039408866995,0.09962727083596337,2.4772499999999997,2.5532340000000002,14521656.1
2025-02-28,1.83,1.985,1.82,1.88,4955001.0,2025-02-28,-0.010526315789473717,0.09898905488250936,2.45025,2.5739280000000004,14155952.45
2025-03-03,1.91,1.93,1.69,1.71,5938979.0,2025-03-03,-0.09042553191489355,0.10031913928288218,2.41175,2.5887000000000002,13437305.9
2025-03-04,1.62,1.6991,1.53,1.64,6649169.0,2025-03-04,-0.040935672514619936,0.10019784240261512,2.37575,2.5968999999999998,13269292.5
2025-03-05,1.6,1.71,1.58,1.69,3734388.0,2025-03-05,0.030487804878048808,0.09988399363271347,2.33725,2.6058999999999997,13143455.2
